Country;Capital City;Latitude;Longitude;Population (thousands)
Kazakhstan;Astana;51.1801;71.44598;740.964
Kenya;Nairobi;-1.28333;36.81667;3767.652
Kiribati;Tarawa;1.327221;172.981305;45.915
Kuwait;Al Kuwayt (Kuwait City);29.353429;47.982244;2680.322
Kyrgyzstan;Bishkek;42.87;74.59;857.711
Lao People's Democratic Republic;Vientiane;17.96667;102.6;945.715
Latvia;Riga;56.946;24.10589;629.37
Lebanon;Bayrut (Beirut);33.9;35.48333;2178.834
Lesotho;Maseru;-29.31667;27.48333;266.58
Liberia;Monrovia;6.30054;-10.7969;1223.881
Libya;Tarabulus (Tripoli);32.87519;13.18746;1126.013
Liechtenstein;Vaduz;47.14151;9.52154;5.321
Lithuania;Vilnius;54.68916;25.2798;518.518
Luxembourg;Luxembourg;49.61167;6.13;106.68
Madagascar;Antananarivo;-18.91368;47.53613;2486.592
Malawi;Lilongwe;-13.96692;33.78725;867.469
Malaysia;Kuala Lumpur;3.1412;101.68653;6629.176
Maldives;Male;4.1748;73.50888;156.427
Mali;Bamako;12.65;-8;2386.064
Malta;Valletta;35.89972;14.51472;197.447
Marshall Islands;Majuro;7.08971;171.38027;30.861
Martinique;Fort-de-France;14.60892;-61.07334;85.817
Mauritania;Nouakchott;18.08581;-15.9785;944.804
Mauritius;Port Louis;-20.16194;57.49889;135.496
Mayotte;Mamoudzou;-12.779444;45.227222;5.715
Mexico;Ciudad de Mexico (Mexico City);19.427318;-99.141869;20843.45
Micronesia (Fed. States of);Palikir;6.917423;158.158791;6.821
Monaco;Monaco;43.73333;7.41667;38.066
Mongolia;Ulaanbaatar;47.90771;106.88324;1333.617
Montenegro;Podgorica;42.44111;19.26361;164.999
Montserrat;Brades Estate;16.79183;-62.21058;0.465
Morocco;Rabat;34.01325;-6.83255;1931.623
Mozambique;Maputo;-25.96528;32.58917;1173.989
Myanmar;Nay Pyi Taw;19.745;96.12972;1015.699
Namibia;Windhoek;-22.55941;17.08323;356.389
